"import_year;""partner_code"";""partner_name"";""product_code"";""product_name"";""import_value""",,,,,,,,,,
"2008;604;""Peru"";""03"";""Fish and crustaceans"," molluscs and other acquatic invertebrates"";826971",,,,,,,,,
"2008;608;""Philippines"";""03"";""Fish and crustaceans"," molluscs and other acquatic invertebrates"";36194",,,,,,,,,
"2008;704;""Viet Nam"";""03"";""Fish and crustaceans"," molluscs and other acquatic invertebrates"";74071",,,,,,,,,
"2008;724;""Spain"";""03"";""Fish and crustaceans"," molluscs and other acquatic invertebrates"";82927",,,,,,,,,
"2008;858;""Uruguay"";""03"";""Fish and crustaceans"," molluscs and other acquatic invertebrates"";28416",,,,,,,,,
"2008;842;""USA"";""03"";""Fish and crustaceans"," molluscs and other acquatic invertebrates"";3223342",,,,,,,,,
"2010;842;""USA"";""03"";""Fish and crustaceans"," molluscs and other acquatic invertebrates"";4071595",,,,,,,,,
"2010;724;""Spain"";""03"";""Fish and crustaceans"," molluscs and other acquatic invertebrates"";223028",,,,,,,,,
"2010;704;""Viet Nam"";""03"";""Fish and crustaceans"," molluscs and other acquatic invertebrates"";210318",,,,,,,,,
"2010;699;""India"";""03"";""Fish and crustaceans"," molluscs and other acquatic invertebrates"";63215",,,,,,,,,
"2010;604;""Peru"";""03"";""Fish and crustaceans"," molluscs and other acquatic invertebrates"";977370",,,,,,,,,
"2010;32;""Argentina"";""03"";""Fish and crustaceans"," molluscs and other acquatic invertebrates"";22575",,,,,,,,,
"2010;124;""Canada"";""03"";""Fish and crustaceans"," molluscs and other acquatic invertebrates"";1061330",,,,,,,,,
"2010;152;""Chile"";""03"";""Fish and crustaceans"," molluscs and other acquatic invertebrates"";1064550",,,,,,,,,
"2010;156;""China"";""03"";""Fish and crustaceans"," molluscs and other acquatic invertebrates"";436299",,,,,,,,,
"2010;170;""Colombia"";""03"";""Fish and crustaceans"," molluscs and other acquatic invertebrates"";2006",,,,,,,,,
"2010;188;""Costa Rica"";""03"";""Fish and crustaceans"," molluscs and other acquatic invertebrates"";64714",,,,,,,,,
"2010;208;""Denmark"";""03"";""Fish and crustaceans"," molluscs and other acquatic invertebrates"";74198",,,,,,,,,
"2010;218;""Ecuador"";""03"";""Fish and crustaceans"," molluscs and other acquatic invertebrates"";13300",,,,,,,,,
"2010;328;""Guyana"";""03"";""Fish and crustaceans"," molluscs and other acquatic invertebrates"";45350",,,,,,,,,
"2010;344;""China"," Hong Kong SAR"";""03"";""Fish and crustaceans"," molluscs and other acquatic invertebrates"";1060",,,,,,,,
"2010;360;""Indonesia"";""03"";""Fish and crustaceans"," molluscs and other acquatic invertebrates"";248411",,,,,,,,,
"2010;392;""Japan"";""03"";""Fish and crustaceans"," molluscs and other acquatic invertebrates"";12562",,,,,,,,,
"2010;484;""Mexico"";""03"";""Fish and crustaceans"," molluscs and other acquatic invertebrates"";265949",,,,,,,,,
"2010;490;""Other Asia"," nes (Taiwan)"";""03"";""Fish and crustaceans"," molluscs and other acquatic invertebrates"";5680",,,,,,,,
"2010;528;""Netherlands"";""03"";""Fish and crustaceans"," molluscs and other acquatic invertebrates"";74190",,,,,,,,,
"2010;558;""Nicaragua"";""03"";""Fish and crustaceans"," molluscs and other acquatic invertebrates"";219454",,,,,,,,,
"2010;579;""Norway"";""03"";""Fish and crustaceans"," molluscs and other acquatic invertebrates"";2773634",,,,,,,,,
"2009;32;""Argentina"";""03"";""Fish and crustaceans"," molluscs and other acquatic invertebrates"";95786",,,,,,,,,
"2009;124;""Canada"";""03"";""Fish and crustaceans"," molluscs and other acquatic invertebrates"";918564",,,,,,,,,
"2009;152;""Chile"";""03"";""Fish and crustaceans"," molluscs and other acquatic invertebrates"";864724",,,,,,,,,
"2009;156;""China"";""03"";""Fish and crustaceans"," molluscs and other acquatic invertebrates"";213592",,,,,,,,,
"2009;170;""Colombia"";""03"";""Fish and crustaceans"," molluscs and other acquatic invertebrates"";4973",,,,,,,,,
"2009;188;""Costa Rica"";""03"";""Fish and crustaceans"," molluscs and other acquatic invertebrates"";246838",,,,,,,,,
"2008;604;""Peru"";""04"";""Dairy produce; birds' eggs; natural honey; edible products of animal origin"," not elsewhere specified or included"";550",,,,,,,,,
"2010;842;""USA"";""04"";""Dairy produce; birds' eggs; natural honey; edible products of animal origin"," not elsewhere specified or included"";17649613",,,,,,,,,
"2010;826;""United Kingdom"";""04"";""Dairy produce; birds' eggs; natural honey; edible products of animal origin"," not elsewhere specified or included"";473",,,,,,,,,
"2010;724;""Spain"";""04"";""Dairy produce; birds' eggs; natural honey; edible products of animal origin"," not elsewhere specified or included"";232683",,,,,,,,,
"2010;616;""Poland"";""04"";""Dairy produce; birds' eggs; natural honey; edible products of animal origin"," not elsewhere specified or included"";133",,,,,,,,,
